Id;F_wh;C_wh;F_coord;C_coord
37542;327288;331551;50.524149,41.67608;47.125646068958,39.429415875834
37543;326942;331551;49.701854,40.781888;47.125646068958,39.429415875834
37544;326768;331551;50.40865,41.752365;47.125646068958,39.429415875834
37545;326509;331551;49.310784,44.945247;47.125646068958,39.429415875834
37546;326423;331551;50.497467,43.622505;47.125646068958,39.429415875834
37547;326337;331551;50.364154137551,44.106785291015;47.125646068958,39.429415875834
37548;326251;331551;50.440925,44.443421;47.125646068958,39.429415875834
37549;326157;331551;50.45925,44.211144;47.125646068958,39.429415875834
37551;45525;331551;51.367674658959,46.834418216856;47.125646068958,39.429415875834
37552;325633;331551;49.765454,45.388368;47.125646068958,39.429415875834
37553;325546;331551;50.028494,42.13891;47.125646068958,39.429415875834
37554;325459;331551;50.075923,42.051073;47.125646068958,39.429415875834
37556;325285;331551;50.011686,41.88342;47.125646068958,39.429415875834
37557;325197;331551;45.615877,38.935069;47.125646068958,39.429415875834
37558;325110;331551;45.718873,39.305749;47.125646068958,39.429415875834
37559;325023;331551;45.540668,38.786406;47.125646068958,39.429415875834
37560;324936;331551;45.643904,39.148993;47.125646068958,39.429415875834
37561;324849;331551;45.71898,39.204698;47.125646068958,39.429415875834
37562;324762;331551;45.449212,39.010123;47.125646068958,39.429415875834
37564;324588;331551;50.443862,39.530319;47.125646068958,39.429415875834
37565;324400;331551;51.237714,41.949994;47.125646068958,39.429415875834
37566;324153;331551;51.190773,42.245576;47.125646068958,39.429415875834
37567;324034;331551;51.391791,42.815045;47.125646068958,39.429415875834
37568;323935;331551;46.243758,40.154549;47.125646068958,39.429415875834
37569;323761;331551;46.332607,39.962032;47.125646068958,39.429415875834
37570;323587;331551;45.506166,39.267005;47.125646068958,39.429415875834
37571;323348;331551;45.420524,39.195912;47.125646068958,39.429415875834
37572;323266;331551;46.31604,38.952559;47.125646068958,39.429415875834
37573;323181;331551;46.125839,38.9658;47.125646068958,39.429415875834
37574;323096;331551;46.325183,38.744922;47.125646068958,39.429415875834
37575;323010;331551;46.084805,38.971944;47.125646068958,39.429415875834
37576;322925;331551;46.13971,38.696862;47.125646068958,39.429415875834
37577;322838;331551;46.333087,38.864488;47.125646068958,39.429415875834
37578;322751;331551;46.022273,38.723991;47.125646068958,39.429415875834
37579;322490;331551;45.485677,38.661747;47.125646068958,39.429415875834
37580;322403;331551;45.433017,38.724351;47.125646068958,39.429415875834
37582;322228;331551;45.627816,38.49952;47.125646068958,39.429415875834
37584;322054;331551;45.443597,40.67259;47.125646068958,39.429415875834
37585;321967;331551;45.655516,40.755675;47.125646068958,39.429415875834
37586;321880;331551;46.35771,38.268878;47.125646068958,39.429415875834
37587;321793;331551;46.411912,37.955384;47.125646068958,39.429415875834
37588;321165;331551;46.426306,38.463085;47.125646068958,39.429415875834
37589;321078;331551;46.49133,38.280583;47.125646068958,39.429415875834
37590;320991;331551;45.29465,39.265487;47.125646068958,39.429415875834
37592;320817;331551;45.392156,40.763437;47.125646068958,39.429415875834
37593;320730;331551;45.308071,40.939875;47.125646068958,39.429415875834
37594;320643;331551;45.175051,40.599287;47.125646068958,39.429415875834
37595;320556;331551;45.855408,39.656227;47.125646068958,39.429415875834
37596;320469;331551;45.5964,39.800721;47.125646068958,39.429415875834
37598;320295;331551;45.637899,39.897164;47.125646068958,39.429415875834
37599;320156;331551;45.782359,39.219026;47.125646068958,39.429415875834
37601;319981;331551;45.269416,38.465205;47.125646068958,39.429415875834
37604;319720;331551;45.79122,39.367365;47.125646068958,39.429415875834
37605;319633;331551;44.932561,39.756874;47.125646068958,39.429415875834
37606;319546;331551;45.774294,41.061408;47.125646068958,39.429415875834
37607;319459;331551;46.073665,40.871324;47.125646068958,39.429415875834
37609;317488;331551;45.88477,40.993154;47.125646068958,39.429415875834
37614;316616;331551;45.805641,41.212576;47.125646068958,39.429415875834
37615;316531;331551;50.307689,39.884723;47.125646068958,39.429415875834
37616;316425;331551;51.076298,38.64105;47.125646068958,39.429415875834
37617;316339;331551;51.262418,38.658414;47.125646068958,39.429415875834
37618;316248;331551;50.432749,39.634676;47.125646068958,39.429415875834
37619;316146;331551;45.038114,37.889645;47.125646068958,39.429415875834
37620;315972;331551;46.279572,39.813459;47.125646068958,39.429415875834
37621;315884;331551;46.320721,39.970521;47.125646068958,39.429415875834
37622;315796;331551;46.481786,39.890777;47.125646068958,39.429415875834
37623;315089;331551;46.288522,40.266318;47.125646068958,39.429415875834
37624;315001;331551;46.473837,39.951081;47.125646068958,39.429415875834
37625;314913;331551;50.530288,41.818265;47.125646068958,39.429415875834
37626;314825;331551;50.28614,41.736294;47.125646068958,39.429415875834
37627;314738;331551;50.858474,43.855177;47.125646068958,39.429415875834
37629;314566;331551;49.662294,45.73872;47.125646068958,39.429415875834
37630;314263;331551;49.648852,45.463512;47.125646068958,39.429415875834
37631;314176;331551;44.649215,41.071235;47.125646068958,39.429415875834
37632;314089;331551;44.715976,40.870372;47.125646068958,39.429415875834
37633;314002;331551;44.496508,41.087333;47.125646068958,39.429415875834
37634;313915;331551;46.736809,39.565264;47.125646068958,39.429415875834
37635;313828;331551;45.125553,40.146707;47.125646068958,39.429415875834
37636;313741;331551;45.110721,40.28653;47.125646068958,39.429415875834
37637;313654;331551;44.765985,40.659385;47.125646068958,39.429415875834
37638;313191;331551;45.083139,40.435686;47.125646068958,39.429415875834
37639;313118;331551;44.883694,40.821782;47.125646068958,39.429415875834
37640;312972;331551;44.9884,40.47815;47.125646068958,39.429415875834
37641;312826;331551;44.934986,37.986196;47.125646068958,39.429415875834
37642;312753;331551;50.186999,43.549427;47.125646068958,39.429415875834
37643;312670;331551;50.073922,42.617209;47.125646068958,39.429415875834
37644;312580;331551;49.67578,42.317297;47.125646068958,39.429415875834
37645;312488;331551;49.85801,42.33574;47.125646068958,39.429415875834
37647;312316;331551;49.989793,42.635175;47.125646068958,39.429415875834
37648;312199;331551;50.187311,44.502422;47.125646068958,39.429415875834
37650;311641;331551;47.631528,43.142625;47.125646068958,39.429415875834
37651;311552;331551;47.637302,43.187082;47.125646068958,39.429415875834
37653;311429;331551;47.60151,43.574921;47.125646068958,39.429415875834
37654;311322;331551;47.634813,43.323087;47.125646068958,39.429415875834
