Id;F_wh;C_wh;F_coord;C_coord
38850;335511;331551;51.238098,46.479228;47.125646068958,39.429415875834
38857;335510;331551;51.03464,46.379246;47.125646068958,39.429415875834
38864;335509;331551;51.352917,46.427557;47.125646068958,39.429415875834
38877;337477;331551;51.088271,45.520052;47.125646068958,39.429415875834
38878;335508;331551;50.990586,46.465978;47.125646068958,39.429415875834
38888;335507;331551;51.156902,45.92857;47.125646068958,39.429415875834
38895;335506;331551;48.720336,40.83205;47.125646068958,39.429415875834
38902;337644;331551;50.896757,45.718535;47.125646068958,39.429415875834
38912;335505;331551;48.72931,40.36533;47.125646068958,39.429415875834
38919;335504;331551;48.416183,41.3129;47.125646068958,39.429415875834
38926;335503;331551;48.041746,41.254393;47.125646068958,39.429415875834
38933;335502;331551;47.993246,41.53597;47.125646068958,39.429415875834
38940;337867;331551;50.974261,45.546085;47.125646068958,39.429415875834
38947;335501;331551;55.701288,90.434019;47.125646068958,39.429415875834
38954;335500;331551;45.542733,39.2053;47.125646068958,39.429415875834
38961;335499;331551;45.478878,39.470608;47.125646068958,39.429415875834
38974;335497;331551;45.420752,39.198428;47.125646068958,39.429415875834
38981;335496;331551;45.679392,39.031628;47.125646068958,39.429415875834
38989;335494;331551;46.713427,38.605252;47.125646068958,39.429415875834
39002;335493;331551;45.09899,38.636208;47.125646068958,39.429415875834
39743;339295;331551;52.928978,49.427373;47.125646068958,39.429415875834
39750;339294;331551;53.157741423667,50.556723786585;47.125646068958,39.429415875834
39757;339293;331551;46.090287,41.365919;47.125646068958,39.429415875834
39764;339292;331551;46.087855,41.35804;47.125646068958,39.429415875834
39777;339290;331551;46.165394,41.292041;47.125646068958,39.429415875834
39831;339282;331551;47.008679,41.755761;47.125646068958,39.429415875834
39838;339281;331551;47.01051,41.761303;47.125646068958,39.429415875834
39845;339280;331551;46.846002,41.684398;47.125646068958,39.429415875834
39852;339279;331551;46.937802,41.547091;47.125646068958,39.429415875834
39859;339278;331551;46.56047,43.657674;47.125646068958,39.429415875834
39896;340314;331551;46.342065,43.88934;47.125646068958,39.429415875834
39910;340312;331551;46.699925,43.607754;47.125646068958,39.429415875834
39917;340311;331551;47.72949,39.490308;47.125646068958,39.429415875834
39924;340310;331551;47.722101,39.71981;47.125646068958,39.429415875834
39931;340309;331551;47.687083,39.685925;47.125646068958,39.429415875834
39938;340308;331551;48.217666,41.422863;47.125646068958,39.429415875834
39945;340307;331551;48.192638,41.283229;47.125646068958,39.429415875834
39952;340306;331551;48.196872,41.351474;47.125646068958,39.429415875834
39959;340305;331551;48.298582,41.413251;47.125646068958,39.429415875834
39966;340304;331551;48.039468,41.262684;47.125646068958,39.429415875834
39973;340303;331551;55.331858,83.588965;47.125646068958,39.429415875834
40001;340271;331551;48.390193,41.473734;47.125646068958,39.429415875834
40022;340268;331551;52.600682,51.424777;47.125646068958,39.429415875834
40029;340267;331551;52.6031,51.42449;47.125646068958,39.429415875834
40043;340265;331551;54.108688,50.691922;47.125646068958,39.429415875834
40051;340263;331551;46.909017,43.197503;47.125646068958,39.429415875834
40058;340262;331551;47.2815,43.357214;47.125646068958,39.429415875834
40065;341603;331551;52.369423,49.73457;47.125646068958,39.429415875834
40072;341601;331551;52.710936,48.932842;47.125646068958,39.429415875834
40086;341600;331551;53.475012,50.941942;47.125646068958,39.429415875834
40103;341889;331551;51.17144,45.664294;47.125646068958,39.429415875834
40113;341948;331551;50.854021,46.025687;47.125646068958,39.429415875834
40123;342003;331551;50.725168,46.77808;47.125646068958,39.429415875834
40133;342074;331551;51.763137887927,48.533943157226;47.125646068958,39.429415875834
40143;342145;331551;51.575545,48.539379;47.125646068958,39.429415875834
40153;342220;331551;46.073984,40.072578;47.125646068958,39.429415875834
40163;342297;331551;46.062228,39.607466;47.125646068958,39.429415875834
40173;342352;331551;46.066199,39.634856;47.125646068958,39.429415875834
40193;342466;331551;46.000134,39.987759;47.125646068958,39.429415875834
40206;342532;331551;46.035345,38.586369;47.125646068958,39.429415875834
40216;342587;331551;45.942439,38.364342;47.125646068958,39.429415875834
40226;342643;331551;46.043502,38.177645;47.125646068958,39.429415875834
40236;342704;331551;45.714961556182,37.763523761718;47.125646068958,39.429415875834
40246;342761;331551;45.260325,38.12822;47.125646068958,39.429415875834
40266;342885;331551;47.61524,39.706317;47.125646068958,39.429415875834
40273;342884;331551;47.687739,39.414095;47.125646068958,39.429415875834
40280;342883;331551;46.517747,41.186804;47.125646068958,39.429415875834
40287;342882;331551;46.585045,41.325872;47.125646068958,39.429415875834
40294;342879;331551;46.480384,41.91045;47.125646068958,39.429415875834
40301;342878;331551;46.41408,41.362595;47.125646068958,39.429415875834
40315;342876;331551;46.475332,41.541665;47.125646068958,39.429415875834
40329;342874;331551;46.662193,41.341601;47.125646068958,39.429415875834
40336;342873;331551;46.34548,41.724688;47.125646068958,39.429415875834
40353;342868;331551;47.387143,41.022592;47.125646068958,39.429415875834
40360;342819;331551;47.517792,40.811505;47.125646068958,39.429415875834
40367;342815;331551;49.009468,42.120144;47.125646068958,39.429415875834
40374;342814;331551;48.875367,42.23335;47.125646068958,39.429415875834
40381;342813;331551;48.997789,42.425976;47.125646068958,39.429415875834
40395;342756;331551;48.747201,40.084184;47.125646068958,39.429415875834
40402;342703;331551;46.540489,41.061489;47.125646068958,39.429415875834
40409;342702;331551;46.53641,41.029571;47.125646068958,39.429415875834
40416;342701;331551;46.602335,41.000762;47.125646068958,39.429415875834
40423;342697;331551;46.831695,41.086929;47.125646068958,39.429415875834
40430;342696;331551;46.62384,41.022214;47.125646068958,39.429415875834
40437;342691;331551;46.851339,40.978475;47.125646068958,39.429415875834
40444;342642;331551;47.344933,40.71022;47.125646068958,39.429415875834
40451;342522;331551;46.395717,40.997879;47.125646068958,39.429415875834
40458;342521;331551;46.606793,40.871073;47.125646068958,39.429415875834
40465;342520;331551;47.615416,41.824697;47.125646068958,39.429415875834
40472;342519;331551;47.61459,41.818256;47.125646068958,39.429415875834
40479;342462;331551;47.647714,42.09306;47.125646068958,39.429415875834
40486;342461;331551;47.65484,42.097327;47.125646068958,39.429415875834
40493;342439;331551;47.51677,41.771041;47.125646068958,39.429415875834
40500;342404;331551;47.627982,41.969874;47.125646068958,39.429415875834
40507;344449;331551;51.670596,45.594738;47.125646068958,39.429415875834
40517;344513;331551;50.685579,42.565574;47.125646068958,39.429415875834
40527;344576;331551;50.484441,42.296376;47.125646068958,39.429415875834
40547;344690;331551;50.602298,42.417451;47.125646068958,39.429415875834
40557;344747;331551;50.531599,42.412097;47.125646068958,39.429415875834
40577;344857;331551;50.74483,42.847537;47.125646068958,39.429415875834
40587;344924;331551;50.464119,43.026221;47.125646068958,39.429415875834
40597;345011;331551;50.38358,42.658217;47.125646068958,39.429415875834
40617;345134;331551;50.529658,42.66667;47.125646068958,39.429415875834
40637;345254;331551;50.394899,43.35805;47.125646068958,39.429415875834
40647;345310;331551;50.571742,42.283341;47.125646068958,39.429415875834
40677;345475;331551;50.489295,42.540843;47.125646068958,39.429415875834
40687;345530;331551;51.046007,42.9082;47.125646068958,39.429415875834
40697;345585;331551;50.974034,42.366848;47.125646068958,39.429415875834
42014;204781;331337;69.351032419591,88.202377629639;51.159664,42.276541
42024;202611;331337;54.056017,80.785296;51.159664,42.276541
42148;345698;331551;47.424643,38.506518;47.125646068958,39.429415875834
42157;345697;331551;47.563365,38.876462;47.125646068958,39.429415875834
42166;345696;331551;47.566186,38.699261;47.125646068958,39.429415875834
42175;345695;331551;47.476266,38.632714;47.125646068958,39.429415875834
42184;345670;331551;47.573609,39.035922;47.125646068958,39.429415875834
42193;345669;331551;47.507701,38.879041;47.125646068958,39.429415875834
42202;345668;331551;47.478221,38.634142;47.125646068958,39.429415875834
42211;345273;331551;47.570928,39.029086;47.125646068958,39.429415875834
42220;345252;331551;47.568448,38.865665;47.125646068958,39.429415875834
42229;345251;331551;47.539057,38.387087;47.125646068958,39.429415875834
42238;345248;331551;47.617287,38.679013;47.125646068958,39.429415875834
42247;345245;331551;47.536143,40.46313;47.125646068958,39.429415875834
42265;345188;331551;49.503135,40.295872;47.125646068958,39.429415875834
42274;345187;331551;49.247181,40.746917;47.125646068958,39.429415875834
42284;345133;331551;49.197143,40.23732;47.125646068958,39.429415875834
42292;345186;331551;48.440748,40.495685;47.125646068958,39.429415875834
42301;345129;331551;49.3718,41.02605;47.125646068958,39.429415875834
42319;345127;331551;49.458436,41.812705;47.125646068958,39.429415875834
42328;345126;331551;49.76024,41.974204;47.125646068958,39.429415875834
42346;345124;331551;49.636642,41.738558;47.125646068958,39.429415875834
42411;346862;331551;52.1505828,39.0779099;47.125646068958,39.429415875834
42420;346878;331551;51.044986,42.4660281;47.125646068958,39.429415875834
42432;346933;331551;47.9604398,43.9703004;47.125646068958,39.429415875834
42450;346988;331551;48.198382,43.6256293;47.125646068958,39.429415875834
42524;347125;331551;46.2241767,39.154995;47.125646068958,39.429415875834
42536;347225;331551;44.9931812,39.0650324;47.125646068958,39.429415875834
42554;347289;331551;45.6415289,39.7055977;47.125646068958,39.429415875834
42566;347344;331551;46.5333073,39.0405159;47.125646068958,39.429415875834
42624;347579;331551;45.3624114,40.1854447;47.125646068958,39.429415875834
43663;204781;350166;69.351032419591,88.202377629639;47.2093799,39.7176599
43674;202611;350166;54.056017,80.785296;47.2093799,39.7176599
45778;204781;359139;69.351032419591,88.202377629639;44.7154014,37.7619669
45786;202611;359139;54.056017,80.785296;44.7154014,37.7619669
46477;204781;359469;69.351032419591,88.202377629639;45.3542988,41.7296577
46485;202611;359469;54.056017,80.785296;45.3542988,41.7296577
47488;204781;359506;69.351032419591,88.202377629639;54.1998187,46.9777151
47515;202611;359506;54.056017,80.785296;54.1998187,46.9777151
48666;204781;359504;69.351032419591,88.202377629639;51.8566255,41.4398222
48674;202611;359504;54.056017,80.785296;51.8566255,41.4398222
50629;204781;360071;69.351032419591,88.202377629639;51.640092732925,40.130095700069
50638;202611;360071;54.056017,80.785296;51.640092732925,40.130095700069
51116;362368;360071;49.8276611,42.4948881;51.640092732925,40.130095700069
51117;362368;18177;49.8276611,42.4948881;51.350031,39.298653
51118;362368;16910;49.8276611,42.4948881;50.96105,42.362519
51120;362368;330079;49.8276611,42.4948881;47.122418,39.381765
51121;362368;335318;49.8276611,42.4948881;50.812874,40.647096
51463;362368;363508;49.8276611,42.4948881;48.708048,44.5133035
52269;204781;363508;69.351032419591,88.202377629639;48.708048,44.5133035
52278;202611;363508;54.056017,80.785296;48.708048,44.5133035
52491;362368;363517;49.8276611,42.4948881;50.976255,42.6388296
53297;204781;363517;69.351032419591,88.202377629639;50.976255,42.6388296
53306;202611;363517;54.056017,80.785296;50.976255,42.6388296
53863;362368;364166;49.8276611,42.4948881;51.6531719,38.5993849
